review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1QX6706ZWJ1P5,5,0,0,N,Y
R3QWMLJHIW6P37,5,0,0,N,Y
R14Z1VR1N0Z9G6,5,1,1,N,Y
R25ZRJL0GH0U0,2,0,0,N,Y
R3837KYH7AZNIY,4,0,1,N,Y
R2MN0QYCY6EVIV,5,0,0,N,Y
R3AN2UJ1D42ZS0,5,0,0,N,Y
R3U29ZLUWEEK4M,5,0,0,N,Y
R16ZDMJJHK796C,5,0,0,N,N
RRRDOEJZD1Y22,4,0,0,N,Y
R2KR5ZEAS859DK,5,0,0,N,Y
RR7PGQY763IHF,5,0,0,N,Y
RN37YYZBP9BMP,5,4,4,N,Y
R1UXGB70OR5TW,5,0,0,N,Y
R1OC5ZNXSGO7P1,5,0,0,N,Y
R1W4ZN8BPVNWK3,5,0,0,N,Y
R2KE33CNN5X2B0,5,0,0,N,Y
R1A26EDSO0U5N6,5,0,0,N,Y
R3L81GOHVS3E9P,5,0,0,N,Y
RNFW9SWC5D0YF,5,2,2,N,N
R10BWJIZZEBJED,5,0,0,N,N
R24V6VDHS7JMQV,5,1,1,N,Y
RBA56WVCDD5M,5,0,0,N,Y
R1RJA03N6BIT92,5,0,0,N,Y
R5BE7WRX6BPD,5,1,1,N,Y
RWD2J7RJ5HBHJ,5,9,10,N,N
R1G9V99VFNW84L,1,1,3,N,Y
R1CLLHBWO68MS6,5,0,0,N,Y
R1Y3V7SC9ZF7VF,3,0,0,N,N
R291UJK3VORG16,4,0,0,N,Y
R3JPNFRK6J3OOJ,5,0,0,N,Y
R3RC90DVPU1QJ7,5,0,0,N,Y
RN0F7HUQH80XZ,5,0,0,N,Y
R1RZ3KCJQDOZW9,5,0,0,N,Y
R3KZDE5P46WHWM,5,0,1,N,Y
R35S4NIZWRXETC,5,0,0,N,Y
R1W1UFYPUMRVCA,5,0,0,N,Y
R1DGOQGY6BA7PT,5,0,0,N,N
R255WC9W3A1UDC,5,0,0,N,N
R1MYJ5ZTYB9YHS,3,0,0,N,N
RVNQACBCGD4U0,1,0,0,N,N
R1Q5IP2IBCPVWM,1,0,1,N,Y
R2PCAH7CB0PE9C,3,0,0,N,Y
R23F1B62IQ23U6,5,0,0,N,Y
R315TEMR0KSVZW,5,0,0,N,Y
R2B8Q65MIBUJHQ,5,0,0,N,Y
R247N8Z8Q5YDX1,4,0,0,N,Y
R3B5A3S080QFOI,5,0,0,N,Y
R2ELFPVGRAMF5O,4,0,0,N,N
RVCUAJ47ELFGD,5,1,1,N,Y
RK4KLQBT87EBL,5,0,0,N,Y
R2MQPMRES4P8MC,5,0,0,N,Y
R3NH087C8HYMXP,5,0,0,N,N
RP1EUBHT68XWW,1,0,0,N,Y
R212UYCDLBZ76Q,5,0,0,N,Y
R1KF261EK0NAVH,5,2,3,N,Y
R9FYHN1T5H8KM,4,0,0,N,Y
R3HS52NYKMLEJM,4,0,0,N,Y
R18RCADNM1LITQ,5,0,0,N,Y
R29I8SR2OX4CCJ,4,2,3,N,Y
R1TXYI56GOX1SX,5,0,0,N,Y
R1UYUKRDN05O38,4,0,0,N,Y
RHYX43NMQIWG0,5,0,0,N,N
R1KW5T8U2K2UAX,5,2,2,N,Y
R3FOK2PXXIIEDX,5,0,0,N,Y
R3H2A9ML3GQQJT,5,0,0,N,Y
R39QNIGSPOD5BH,5,0,0,N,Y
R39TNNTEEB1RNK,5,0,0,N,Y
R3VCRWCEQ9PO5B,1,0,0,N,Y
R2A02WU7TK1TDY,5,0,0,N,Y
R14AHC01JPLE4K,5,0,0,N,Y
R5KL1ZKUD1OO0,5,0,0,N,Y
R3G7NU9VMW3MIO,5,1,1,N,N
R2FKZJLD71R4D4,1,0,0,N,Y
R25FMD9WM58GKO,5,0,1,N,Y
R3CX2QES4PML61,5,0,0,N,Y
R2D2DMUQK3SN43,2,0,0,N,Y
R20E63409V4RSR,5,0,0,N,Y
R3GZTLR64HWHVW,5,0,0,N,Y
R1V9821CI77DDG,4,0,0,N,Y
R1D8ZBAEWYJIUE,5,2,2,N,N
R1567J4ZPZV214,5,0,0,N,Y
RZ0JWNH0LQSCC,5,0,1,N,Y
RKQNUD4WWUGOK,5,1,1,N,Y
RROW3411II6KM,5,0,0,N,N
R3SXKNIJZYLW6U,5,0,0,N,Y
RT72E1PK3DUAH,5,5,5,N,N
R1AVZAXVINC304,5,2,3,N,Y
R2P8FQQFOE14Y6,5,0,1,N,Y
R3Q40FQL4YHQFM,5,0,0,N,N
R3G14YPFPC2WVZ,1,1,2,N,Y
R3BQ3FCMYZTB9I,5,0,0,N,Y
R170MMX5J894TL,5,0,0,N,Y
R23O2OS4YIBQRG,3,0,0,N,Y
R3TYJ25R2J5NYR,1,0,0,N,N
R1OHWFFUWXN9MR,1,0,4,N,Y
R13AY1N5UF3ISG,5,1,1,N,Y
R3I9YRZ59N82RK,5,0,0,N,Y
R1QPQ76VOGRQ58,5,0,0,N,Y
R1HCUXTUNLRKFO,5,0,0,N,Y
R3MFXG7I6V983Q,5,0,0,N,Y
R3Q22AB4WNEFDT,5,0,0,N,N
R2XLISJVPO0NTM,5,0,0,N,Y
R1F8W7HVF5B1QO,5,0,0,N,Y
RESIFRARJJ9CQ,1,0,0,N,Y
R1EC0J13DUJU63,5,0,0,N,Y
R30X30TTNXRS53,5,0,0,N,Y
R1EYS01MWX5MVC,5,0,0,N,Y
R3RJUJCAR2GB3P,5,0,0,N,Y
R2L00901OGC4EA,4,1,1,N,Y
R1ZDWDX11CBG21,3,0,0,N,Y
RI59R3R4C021Y,5,0,0,N,Y
R1E3YHOX95XS0H,5,0,0,N,Y
R2UEQCWB6HLLXQ,5,0,0,N,Y
R3KQSXRF2U0243,5,0,0,N,Y
R1RS5ZP1VVD0FR,4,0,0,N,Y
R1DHVRGIF17QZE,5,0,0,N,Y
R3QQPIYOLOQPCC,5,0,0,N,Y
REGSDS5FFNJ2C,2,0,4,N,Y
R2SGAHW320NSPU,5,0,0,N,Y
RUCAOIMHAOJSU,5,0,0,N,Y
RCNRDB9PKF6F4,1,1,1,N,Y
RDL9TKWK30EHL,3,0,0,N,Y
R1FGKUAHXBIHMU,5,0,0,N,Y
RYKHT0F7J8RJO,3,4,6,N,N
R2MELPY6PEQZGC,1,0,1,N,Y
R2C89H4B4TSCR1,5,0,0,N,N
R1KPWRWOVQ4UIP,1,0,4,N,Y
RZL5SUK3JBEWW,4,0,0,N,Y
RJKBAXN2WM7HD,5,0,0,N,Y
R3PNAVR2IRMSYQ,5,0,0,N,Y
R3HBL31DPNIWN5,5,0,0,N,Y
R353GK206L8L1C,5,0,0,N,Y
R7G0NUJH15U3B,5,0,0,N,Y
R2TYTK5NDBUMX8,5,0,0,N,Y
R3IVKV4JH27IP8,5,0,0,N,Y
R3IFOUP91E23CZ,1,8,8,N,Y
R3TRJ7G94IX8L6,4,1,1,N,Y
R1RZAZBG8672FU,5,0,0,N,Y
R16L9481I1QAI6,4,0,0,N,Y
R17SYH5I5QI72F,5,0,0,N,Y
RSE5MSZCSI5ZR,3,0,0,N,Y
R3BMUYKTF05ZRE,5,1,1,N,Y
R16STMWGHF7XXV,5,0,0,N,Y
RVHSFOUDNUVS5,4,0,0,N,Y
R26RRTS38CRCK2,1,3,3,N,Y
RVC4SE794DGFZ,5,0,0,N,Y
R3SH9WX0JQ7CP2,5,0,0,N,Y
R2FQEP4MMXT9WR,5,0,0,N,Y
R2DQNX1V2JIR3N,1,0,0,N,Y
R3VKHJNV4W9C9E,5,3,4,N,Y
R1A3UX6DE1Z3MY,5,0,0,N,Y
R20DESK5URYGH,5,0,0,N,Y
R2ZUICFK8LH1QA,5,0,0,N,Y
RGPI6E08NK6AU,5,0,0,N,Y
RV9TCUK4GB1N8,5,10,11,N,Y
R10O8ZYRMYD2V3,5,0,0,N,Y
R3A1NB0TWE4P8E,3,0,1,N,Y
R2WL504QZWEK7H,2,0,0,N,Y
R30QZ9G74SMWSR,5,1,1,N,Y
R1QMCVMY61QQRQ,5,0,0,N,Y
R2L0302KG1KN2V,4,0,0,N,Y
R2TC5XEHERU9F9,5,0,0,N,Y
R2VGBXIBTM1XOH,5,0,0,N,Y
RK32YKCKP5BUF,5,0,0,N,Y
R2QBL3O0D4HG16,5,0,0,N,Y
R87E33FKBNGPB,5,0,0,N,Y
RJEUED7TEJB3Z,5,0,0,N,Y
R7VF6J7R9OONB,5,0,0,N,Y
RKSO4EQG2088T,2,0,0,N,Y
R2XX3AMTUCWHGH,5,0,0,N,Y
R3VVFHRQTFM1VK,5,0,0,N,Y
R9JH3V3EN2V90,5,0,0,N,Y
R18AHJR6AEMGLL,5,0,0,N,Y
R2D49VXHWUUSU3,2,0,0,N,Y
RJK21VYQ5CT64,5,0,0,N,Y
R22OX3WMKX158L,5,0,0,N,Y
RV3P5KWEI5E9A,5,0,0,N,Y
R29K0KZODTJDON,4,0,0,N,Y
R2WWLKN5SVXUK6,5,0,0,N,Y
RI8R77XWA4X6M,5,0,0,N,N
R2GQO4JEFQQC6V,5,0,0,N,Y
R4NYTHE4P757K,5,0,0,N,Y
R1I7QSPHNJ8EDA,5,0,0,N,Y
R1YC28KDZR532C,4,0,0,N,Y
R1UWM8QIPVK314,4,1,1,N,Y
R2WMMNYEYPLM85,4,0,0,N,Y
R28J1Y9E5U5IYZ,4,2,4,N,Y
R33CB6XIJIH2Z6,5,0,0,N,N
ROVXUDVE3D6DT,5,0,0,N,Y
R2P28TETY5T6EX,5,0,0,N,Y
R2JCNH1VF9ZSLF,5,0,0,N,Y
R1PSG9NF4KRHTZ,5,0,0,N,Y
R2W5KBASUQLCB6,5,0,0,N,Y
R1HBN502NX5ZXF,5,0,0,N,N
R1UWIAYCNOQ4WW,5,0,0,N,Y
R32FUR81ANIJSE,5,0,0,N,Y
R2O3V3RWIH79IP,5,0,0,N,Y
RDUD9O8VZ6OMK,5,0,0,N,N
R1O5E3SNQNCOR2,5,0,0,N,N
R227ZINB9FMCPF,5,0,1,N,Y
R3ICGC8QSXLC3A,5,0,0,N,Y
R3FFW0TCRVUIGH,5,0,0,N,N
R1K5BNBQXKCY7B,5,0,0,N,Y
R10E9VDROQ6XIP,5,0,0,N,Y
RYLERA0QXPTA2,5,0,0,N,Y
R2PTKJEWP52BFW,5,0,0,N,Y
R2QHDZLSUG6SVO,3,1,1,N,Y
RK3EDU74SEI3W,5,0,0,N,Y
R14A3KK3KOLYVX,5,0,0,N,N
R2ICEYW29SRQ0Y,5,0,0,N,Y
R1CYXNST57Z303,5,0,0,N,Y
R2KIZ8IINPUWX5,5,0,0,N,N
R2XS1NGS4P0YLK,5,0,0,N,N
R1AR21E301M6CZ,5,0,0,N,Y
R2P6ROYTD0TV1U,4,0,0,N,Y
R3SYQSD90IETQM,4,0,0,N,Y
RYXI1GYSN9VM0,3,0,0,N,Y
R255MV8FFQESVE,5,0,0,N,N
R2CTK1I61HP403,5,0,0,N,Y
R2P7J6MJYBT6JE,4,0,0,N,Y
R15W91T0T32ZXJ,1,2,3,N,Y
RI7QPON2A1VP0,5,0,0,N,Y
R3JD76X2UMDEFZ,3,0,0,N,Y
R2VXBHBO5DZOSW,5,0,1,N,Y
R3BKNMX9DI8MKH,5,0,0,N,N
RVZDI30OPLU9F,5,0,0,N,N
R12SYHT55XOCU6,5,0,0,N,Y
R3GPYH07G2WI93,4,0,0,N,Y
R2NSIAJAN8KS7D,5,0,0,N,Y
R2933AIP0G1IRG,5,1,1,N,Y
R325A3IF0F7N0P,5,0,0,N,Y
R3KVEKS6HTO4ML,4,0,0,N,Y
RWCDZ96YPUSP8,5,0,0,N,N
R1Z4KI897X8OY6,5,0,0,N,Y
R36BOGYG45H9E9,5,0,0,N,Y
R14V2L6H9T9J0E,1,0,13,N,N
R2T69A6IIF29PM,5,0,0,N,N
R3348NF47WCWBO,4,0,0,N,Y
R1XQQ7F95XKJEO,5,0,0,N,N
RQGQ9VRAAUID3,5,0,0,N,N
R12Y2IRER6QA3I,5,0,0,N,N
R329BGVI2WB2AH,5,0,0,N,Y
R11DYK1OSEN3M6,3,0,0,N,Y
ROK8HG4RMEB86,5,0,0,N,Y
R1GKRJUU2V8JTE,5,0,0,N,N
R2QS9V0J4ZKGJ7,5,0,0,N,Y
R2BK6560BKYC59,2,0,0,N,Y
R15SWCACVYWOWO,1,0,4,N,Y
R12M0LV64E4IGK,1,0,4,N,Y
RH4G7YNKXNKG3,5,0,0,N,N
R104YIANJHT42,5,0,0,N,Y
R2W6OTJ5RAE0RA,5,0,0,N,N
R1YI5F6DZHROFK,5,0,0,N,N
R2NQ8W6SW4PIXL,5,0,0,N,N
R3LMJPCVD7345T,5,0,0,N,Y
R2QDKTOFK6SRUA,5,0,0,N,Y
R2TOPYYB4S3VZZ,5,0,0,N,N
R2AZD3QOC0QKKF,2,0,0,N,Y
R1A4HG4LE221S6,5,0,0,N,Y
R87ABJ9550X9H,5,0,0,N,Y
R3ETC9V4B2JOZ0,1,0,0,N,N
R21BD4L43GBN4P,3,0,1,N,Y
R100ABAUWTYA1,4,1,1,N,Y
R5JJM963DT5A6,5,0,0,N,Y
R1D6Z1KSO121K3,5,0,0,N,N
R3TSE7MMSQJKM2,2,0,0,N,N
R1FS3PDF9Q6ITN,5,0,0,N,Y
R3DQDK05P8DC5Y,3,1,1,N,Y
R1ISK1M69BV5MO,4,0,0,N,Y
R3B2R8AFMVFX6C,1,0,4,N,Y
R1TBRBGOOGWN1,5,0,0,N,N
